product_id,purchase_date,purchase_time,country_code,price_per_unit,units_sold,currency
326,6/13/21,1:53:58,CA,950.96,72,CAD
344,3/1/21,8:58:15,CA,160.24,83,CAD
339,3/24/20,18:45:47,CA,461.95,24,CAD
329,9/28/21,1:06:28,CA,970.06,30,CAD
325,9/24/22,1:38:47,CA,185.92,21,CAD
340,9/9/22,16:16:14,CA,613.59,89,CAD
352,10/31/22,11:25:56,CA,613.79,42,CAD
324,3/27/22,16:39:14,CA,369.53,62,CAD
333,8/1/22,4:26:23,CA,385.55,64,CAD
352,1/17/23,9:38:07,CA,860.64,7,CAD
323,6/28/20,9:25:02,CA,69.73,4,CAD
340,9/8/21,7:16:52,CA,565.47,9,CAD
337,8/2/22,6:43:56,CA,234.74,92,CAD
326,4/28/24,16:40:04,CA,126.43,8,CAD
339,7/31/23,4:21:54,CA,909.77,36,CAD
354,5/12/22,1:11:01,CA,315.15,6,CAD
325,2/19/24,19:14:16,CA,569.86,93,CAD
346,6/10/24,18:54:41,CA,776.26,34,CAD
354,9/30/23,4:54:11,CA,599.91,48,CAD
326,11/19/23,14:15:46,CA,50,40,CAD
344,4/17/20,0:48:15,CA,274.99,53,CAD
351,10/19/20,23:34:05,CA,284.53,41,CAD
344,6/20/24,10:57:12,CA,79.18,71,CAD
355,7/23/20,12:16:58,CA,202.72,88,CAD
339,4/27/21,6:22:29,CA,202.85,8,CAD
338,2/22/23,22:17:08,CA,772.41,5,CAD
342,10/28/23,22:03:17,CA,120.29,7,CAD
340,5/7/22,9:28:27,CA,334.24,48,CAD
349,10/17/23,1:28:45,CA,730.96,86,CAD
338,6/16/23,0:51:38,CA,474.85,47,CAD
333,11/29/23,23:56:58,CA,761.98,90,CAD
339,1/15/22,22:32:15,CA,525.12,15,CAD
342,2/19/22,21:16:26,CA,442.14,51,CAD
345,10/24/21,20:05:07,CA,317.78,96,CAD
335,3/31/20,17:31:53,CA,253.05,15,CAD
329,12/27/23,18:47:14,CA,232.65,32,CAD
339,1/28/22,5:48:19,CA,696.31,28,CAD
342,5/11/21,1:23:33,CA,809.08,57,CAD
350,10/3/21,12:14:05,CA,804.65,44,CAD
353,10/18/23,21:19:27,CA,327.72,92,CAD
355,12/5/21,2:00:27,CA,275.77,27,CAD
348,3/18/23,6:36:27,CA,818.92,3,CAD
339,1/20/22,8:52:30,CA,420.32,37,CAD
352,1/10/21,16:49:13,CA,273.07,24,CAD
339,5/11/23,13:22:11,CA,326.59,96,CAD
340,8/1/22,8:18:34,CA,366.81,58,CAD
324,6/16/21,15:02:46,CA,255.52,2,CAD
347,3/14/22,9:38:18,CA,152.35,56,CAD
352,11/24/21,10:43:27,CA,611.52,2,CAD
335,2/14/22,21:56:05,CA,348.35,1,CAD
328,2/14/20,5:17:27,CA,533.28,90,CAD
334,7/9/22,5:20:04,CA,85.45,56,CAD
347,8/8/22,10:11:01,CA,729.58,24,CAD
350,10/1/21,0:13:37,CA,983.51,86,CAD
347,2/26/21,19:58:46,CA,154.96,59,CAD
357,9/7/22,9:08:26,CA,859.07,59,CAD
353,2/23/22,16:59:25,CA,712.59,19,CAD
324,6/25/23,6:49:49,CA,940.82,40,CAD
346,5/27/22,17:26:20,CA,838.52,11,CAD
356,8/16/22,16:58:09,CA,117.91,23,CAD
346,12/2/21,15:59:03,CA,261.65,16,CAD
351,10/6/21,15:55:46,CA,519.05,2,CAD
340,10/7/23,14:32:16,CA,560.5,32,CAD
347,4/27/20,7:02:12,CA,282.48,19,CAD
332,11/11/21,9:45:43,CA,887.65,33,CAD
353,6/8/20,8:24:57,CA,935.96,36,CAD
334,7/7/21,6:33:43,CA,582.78,89,CAD
347,11/10/20,10:16:51,CA,10.04,82,CAD
341,1/28/23,6:12:46,CA,653.7,41,CAD
356,9/3/22,2:40:52,CA,22.98,14,CAD
350,12/10/20,14:05:51,CA,369.64,8,CAD
339,8/4/23,1:42:12,CA,659.32,33,CAD
353,8/17/21,14:02:28,CA,370.88,22,CAD
357,12/29/22,7:23:11,CA,489.31,8,CAD
338,7/14/22,18:07:45,CA,795.84,30,CAD
340,7/30/21,17:37:04,CA,670.58,97,CAD
350,10/23/23,3:51:35,CA,723.84,19,CAD
353,3/11/23,14:17:14,CA,769.71,17,CAD
324,12/18/22,5:45:51,CA,472.59,46,CAD
336,11/6/21,1:06:19,CA,748.98,37,CAD
323,11/4/21,9:04:16,CA,555,95,CAD
332,5/22/23,17:31:19,CA,853.74,63,CAD
344,5/28/22,3:25:16,CA,194.96,33,CAD
328,1/19/20,6:45:11,CA,559.02,95,CAD
325,10/9/20,16:59:02,CA,930.37,46,CAD
342,5/25/21,11:33:50,CA,257.89,2,CAD
351,5/28/24,14:07:31,CA,849.43,9,CAD
329,5/13/23,5:32:06,CA,300.03,26,CAD
328,1/9/21,3:21:46,CA,867.74,13,CAD
331,6/7/20,20:14:48,CA,10.16,36,CAD
350,1/29/23,8:34:42,CA,651.71,16,CAD
334,4/16/22,0:33:29,CA,887.18,15,CAD
331,9/24/23,2:22:48,CA,98.51,87,CAD
339,8/29/22,6:20:14,CA,468.27,63,CAD
357,11/26/20,15:27:56,CA,839.74,58,CAD
348,5/14/20,19:48:50,CA,42.16,70,CAD
339,5/11/23,7:59:29,CA,131.43,97,CAD
350,1/3/20,1:44:49,CA,219.74,5,CAD
326,9/23/22,3:04:22,CA,842.81,96,CAD
353,6/19/21,23:18:28,CA,639.24,52,CAD
327,8/23/21,11:47:06,CA,518.72,30,CAD
347,12/27/23,23:01:55,CA,401.83,19,CAD
331,10/24/23,9:59:16,CA,83.06,90,CAD
323,12/14/22,21:19:41,CA,690.06,1,CAD
342,8/9/21,18:12:23,CA,160.65,34,CAD
348,3/3/24,7:51:39,CA,661.9,1,CAD
344,2/14/24,9:05:09,CA,613.66,67,CAD
331,1/7/21,3:31:27,CA,359.19,86,CAD
330,11/29/22,22:42:11,CA,120.49,69,CAD
345,3/9/23,0:56:09,CA,314.86,62,CAD
335,12/3/23,2:59:06,CA,476.8,90,CAD
337,8/24/21,11:36:03,CA,476.1,33,CAD
357,5/29/23,11:09:33,CA,401.51,10,CAD
357,12/15/22,8:29:36,CA,887.25,52,CAD
346,12/25/21,9:39:57,CA,627.73,58,CAD
330,5/1/23,12:42:33,CA,685.54,16,CAD
346,4/26/22,5:31:52,CA,31.38,32,CAD
332,9/24/23,10:11:55,CA,577.6,50,CAD
332,8/22/23,8:34:50,CA,132.86,61,CAD
338,1/10/22,3:09:54,CA,941.76,67,CAD
355,6/21/24,20:02:44,CA,653.23,43,CAD
335,1/18/23,7:31:54,CA,74.01,95,CAD
325,7/2/20,8:41:13,CA,43.77,35,CAD
345,7/30/23,17:21:20,CA,657.44,93,CAD
342,6/14/20,11:54:54,CA,28.16,34,CAD
347,5/20/23,16:52:36,CA,498.56,58,CAD
327,7/11/23,21:48:33,CA,630.8,29,CAD
356,6/3/22,23:05:52,CA,804.46,36,CAD
337,4/14/23,12:38:41,CA,751.86,64,CAD
347,4/19/21,21:39:57,CA,732.99,36,CAD
351,9/17/20,18:37:43,CA,777.53,24,CAD
349,9/27/23,7:13:46,CA,242.4,55,CAD
323,3/10/21,9:36:38,CA,242.04,30,CAD
355,1/21/24,7:00:42,CA,507.73,89,CAD
357,3/12/21,16:13:58,CA,896.05,49,CAD
324,5/8/20,8:48:37,CA,958.75,19,CAD
356,7/25/20,16:09:16,CA,322.72,78,CAD
326,9/21/21,10:38:48,CA,575.57,16,CAD
344,7/5/21,11:23:00,CA,296.74,25,CAD
353,9/29/20,11:01:35,CA,216.66,53,CAD
345,12/20/21,1:50:06,CA,117.9,53,CAD
342,8/14/23,18:01:52,CA,62.27,95,CAD
337,12/25/21,20:43:04,CA,738.35,93,CAD
338,2/11/24,13:34:08,CA,121.48,76,CAD
343,10/1/21,4:27:47,CA,837.78,17,CAD
344,2/6/20,4:03:58,CA,226.46,9,CAD
341,2/3/24,0:09:26,CA,707.71,5,CAD
344,3/28/24,3:52:15,CA,237.06,8,CAD
323,3/29/21,17:10:11,CA,880.96,17,CAD
345,9/10/23,9:21:24,CA,593.93,36,CAD
334,8/31/20,7:01:38,CA,88.08,61,CAD
353,5/27/23,16:01:09,CA,252.48,19,CAD
339,10/8/20,6:21:27,CA,257.41,92,CAD
325,2/4/20,4:20:33,CA,742.27,72,CAD
323,11/20/22,5:59:01,CA,745.49,3,CAD
350,3/11/22,16:06:02,CA,962.36,63,CAD
356,9/19/23,22:17:19,CA,87.48,33,CAD
357,3/30/21,6:26:49,CA,963.41,44,CAD
344,2/4/20,21:08:13,CA,47.94,21,CAD
357,10/30/22,20:41:43,CA,993,36,CAD
338,9/1/20,5:13:39,CA,969.46,18,CAD
345,7/27/22,13:09:22,CA,220.73,15,CAD
345,4/1/23,14:36:37,CA,629.42,3,CAD
345,9/13/22,17:06:03,CA,915.68,74,CAD
334,12/12/22,17:09:29,CA,111.22,8,CAD
354,4/17/22,12:01:25,CA,648.61,8,CAD
354,10/2/22,15:22:10,CA,585.74,92,CAD
323,5/28/21,21:52:07,CA,263.65,27,CAD
348,6/10/23,10:29:06,CA,283.36,84,CAD
350,6/12/24,13:48:59,CA,274.6,13,CAD
333,1/14/22,22:10:44,CA,823.42,82,CAD
329,3/14/22,12:34:05,CA,615.35,66,CAD
342,4/15/20,6:43:47,CA,553.83,5,CAD
345,7/5/21,2:28:36,CA,778.71,18,CAD
345,6/13/23,7:09:28,CA,379.86,26,CAD
345,4/24/24,10:31:42,CA,970.06,27,CAD
330,12/2/21,21:49:46,CA,68.19,99,CAD
345,10/18/22,15:54:10,CA,18.6,55,CAD
334,12/16/20,16:38:07,CA,813.84,95,CAD
336,6/12/21,8:32:04,CA,557.65,53,CAD
327,2/13/22,21:34:33,CA,850.4,17,CAD
323,12/21/22,16:19:35,CA,133.51,51,CAD
344,11/4/21,16:39:20,CA,211.19,65,CAD
343,10/1/22,16:56:38,CA,361.37,72,CAD
346,1/4/22,8:18:01,CA,500.67,54,CAD
333,12/7/20,9:29:35,CA,522.56,12,CAD
340,12/18/20,11:33:10,CA,563.13,94,CAD
347,9/14/22,3:58:57,CA,592.01,47,CAD
349,11/2/22,3:56:51,CA,622.21,66,CAD
338,5/9/22,16:48:00,CA,903.64,64,CAD
331,11/12/22,6:49:18,CA,353.83,98,CAD
341,11/12/22,15:07:32,CA,95.55,98,CAD
356,11/21/21,17:14:07,CA,516.42,88,CAD
326,9/20/21,13:41:19,CA,301.47,51,CAD
330,5/11/22,22:55:11,CA,797.49,10,CAD
343,3/29/22,3:19:24,CA,770.07,84,CAD
327,8/20/20,17:02:51,CA,622.7,66,CAD
336,5/18/21,21:35:13,CA,581.75,75,CAD
347,2/5/21,11:56:22,CA,462.82,80,CAD
339,5/1/22,7:44:41,CA,143.13,8,CAD
324,3/12/20,13:41:43,CA,348.94,67,CAD
338,10/23/20,6:54:01,CA,669.22,50,CAD
327,8/9/21,9:11:03,CA,227.73,21,CAD
327,3/14/21,14:24:03,CA,282.2,61,CAD
357,3/18/24,21:21:10,CA,550.97,5,CAD
340,6/2/23,22:31:21,CA,210.3,34,CAD
343,5/30/24,15:38:43,CA,691.94,73,CAD
351,3/9/24,1:17:42,CA,483.74,86,CAD
339,11/12/22,7:43:41,CA,921.27,61,CAD
343,1/29/22,13:59:42,CA,868.96,8,CAD
352,6/10/21,3:08:36,CA,188.6,79,CAD
346,7/15/20,9:54:51,CA,761.16,78,CAD
337,5/26/20,5:59:24,CA,67.03,59,CAD
338,7/7/21,20:34:51,CA,895.73,18,CAD
341,11/27/23,10:09:22,CA,400.18,64,CAD
330,12/16/20,5:43:20,CA,186.37,39,CAD
355,2/11/21,16:19:43,CA,215.39,90,CAD
334,8/23/20,21:07:20,CA,237.05,13,CAD
356,4/27/21,20:30:38,CA,680.71,67,CAD
330,2/11/24,16:00:14,CA,482.18,86,CAD
351,3/13/20,4:25:01,CA,566.64,42,CAD
330,9/18/22,23:45:02,CA,366.27,26,CAD
341,10/18/23,1:44:33,CA,359.32,70,CAD
323,2/9/24,10:22:00,CA,241.04,22,CAD
350,4/12/24,20:43:52,CA,851.56,62,CAD
348,1/7/23,5:47:57,CA,84.83,31,CAD
350,1/23/22,12:22:03,CA,997.27,6,CAD
354,1/1/24,0:16:04,CA,969.62,4,CAD
345,4/23/20,1:45:45,CA,493.3,51,CAD
348,9/27/21,2:09:28,CA,719.86,75,CAD
341,5/21/24,4:05:28,CA,839.39,5,CAD
325,12/31/20,18:41:25,CA,327.06,19,CAD
356,4/1/20,13:56:23,CA,737.57,12,CAD
345,10/4/23,13:18:16,CA,612.57,64,CAD
357,10/7/22,14:23:55,CA,508.57,77,CAD
338,3/31/23,14:27:40,CA,56.56,50,CAD
337,12/30/21,11:59:26,CA,68.06,44,CAD
337,1/29/20,18:18:08,CA,686.15,84,CAD
330,8/1/23,16:27:20,CA,7.7,9,CAD
338,7/24/20,7:01:28,CA,352.12,49,CAD
350,10/14/23,4:57:16,CA,965.2,78,CAD
336,10/26/23,5:29:17,CA,938.65,76,CAD
338,5/13/22,23:21:52,CA,926.82,64,CAD
334,2/1/20,22:21:44,CA,842.62,72,CAD
347,11/11/20,1:18:22,CA,751.75,60,CAD
333,11/27/22,5:15:13,CA,168.44,5,CAD
338,8/25/23,12:25:31,CA,635.59,62,CAD
356,4/23/24,4:19:24,CA,877.81,89,CAD
341,4/27/23,5:08:04,CA,625.98,97,CAD
345,10/24/20,6:26:13,CA,236.05,97,CAD
346,12/13/22,8:54:10,CA,545.84,51,CAD
339,8/22/22,18:54:35,CA,434.37,67,CAD
339,10/10/20,5:14:09,CA,338.23,64,CAD
335,9/28/20,4:29:45,CA,497.95,94,CAD
339,10/5/23,0:05:50,CA,789.65,38,CAD
355,1/4/23,2:31:53,CA,708.45,27,CAD
345,9/7/23,19:02:44,CA,38.36,86,CAD
342,6/12/20,22:05:09,CA,496.51,74,CAD
